name,player_positions,overall,potential,age,height,country
P. Guiagon,"LM, RM, LW",72,77,24,169,Côte d'Ivoire
A. Nemane,"RB, RM",63,63,27,170,France
M. Haile-Selassie,"RM, LM, ST, RW",66,67,26,176,Switzerland
S. Dražić,ST,69,69,32,187,Serbia
O. Mamageishvili,CM,64,74,22,180,Georgia
A. Aznou,LB,66,82,19,178,Morocco
A. Ribera,"RM, CM, RW",63,63,29,175,Bolivia
G. Benítez,"LB, LM",67,67,31,170,Argentina
T. Sainsbury,CB,67,67,33,184,Australia
B. Yáñez,"LM, CAM, RM, LW",69,75,24,174,Chile
D. Thorhallsson,"RB, CM, RM",65,70,25,176,Iceland
D. Rankine,"RM, RW",65,73,22,165,England
A. Villalba,"CB, RB, RM",65,68,26,183,Paraguay
P. Cibicki,"ST, LM",65,65,31,182,Sweden
S. Lomónaco,"ST, LM, RM, LW",68,69,26,173,Argentina
F. Sylla,"CM, CDM",65,78,19,182,France
N. Fichtinger,"CDM, CM",65,75,21,178,Netherlands
M. Seiffert,"LB, LM, LW",63,69,24,177,Germany
J. Earing,"CM, CAM",61,62,26,182,England
V. Erlien,"ST, LW, LM",68,69,27,183,Norway
A. Kyziridis,"LW, LM, CAM",70,73,24,179,Greece
D. Strelec,ST,69,74,24,185,Slovakia
R. Kaib,"LB, LM",65,65,28,178,Tunisia
V. García,"RB, RM",66,66,31,178,Venezuela
E. Khouri,"CM, CDM, LB, CAM",60,65,22,179,England
O. Maës,CM,65,67,26,175,France
Jair Cunha,CB,74,81,20,198,Brazil
S. Kaikai,"RM, LM, ST, RB",63,63,29,182,Sierra Leone
O. Kabak,CB,75,78,25,186,Turkiye
P. Kirkevold,"ST, CAM",64,64,34,185,Norway
R. Raposo,"RM, LM, LB, RW",65,66,26,170,Canada
S. Hansen,"LM, RM, CAM, LW",69,76,23,173,Netherlands
T. Watanabe,CB,75,75,28,184,Japan
Duan Liuyu,"CAM, ST, RM, CM",64,65,26,176,China PR
B. Bentaberry,"CB, LB",66,68,28,184,Uruguay
I. Parente,"CM, CDM",63,68,25,178,United States
F. Melegoni,"CAM, CM",65,66,26,186,Italy
T. Băluță,"CDM, CM",66,67,26,192,Romania
C. Zesiger,CB,76,79,27,194,Switzerland
Boris Enow,"CM, CDM",63,67,25,178,Cameroon
M. Zalazar,"CM, CDM, CAM",60,74,20,175,Uruguay
L. Woolfenden,CB,73,75,26,193,England
Zhang Xizhe,"CM, CAM, LM",61,61,34,180,China PR
Luo Jing,"LM, RM, ST, LW",55,55,31,180,China PR
A. Dźwigała,"CB, RB",68,68,29,185,Poland
J. White,"CM, CAM, ST",63,70,22,186,England
E. Krasniqi,"LW, LM, RW",71,71,26,188,Kosovo
N. Boushal,"LB, RB, LM",67,70,25,175,Saudi Arabia
B. Labeau,"ST, CAM",68,68,29,183,France
Zé Carlos,"RB, RM",70,71,26,177,Portugal
Ș. Baiaram,"RM, CAM, ST, RW",70,76,22,185,Romania
Lucas Soares,"RB, RM",69,70,27,174,Brazil
A. Lassiter,"LM, RM, ST, LB",66,66,30,178,Costa Rica
T. Jørgensen,CM,67,82,19,177,Denmark
M. Scalet,"CM, CDM, CAM",64,64,28,186,France
M. Benítez,"CM, CDM, CB",62,73,21,185,Argentina
J. Sands,"CDM, CM, CB",71,76,24,186,United States
Masca,"ST, RM, RW",68,73,25,182,Portugal
Y. Massombo,"CDM, CM, CB",65,71,25,186,France
M. Enggård,"CM, CDM",66,76,21,179,Denmark
C. Garcés,ST,70,70,35,185,Ecuador
A. Al Khaibari,"LB, LM",66,66,28,175,Saudi Arabia
A. Rouault,CB,76,81,24,186,France
Marc Cardona,ST,68,68,29,182,Spain
J. Iredale,CB,66,66,29,184,Australia
N. Tsaroulla,"LB, RB, LM",62,64,26,173,Cyprus
M. Demetriou,CB,65,65,35,188,England
A. Sidibe,"CM, CAM",62,68,23,178,Côte d'Ivoire
F. Zabala,"LB, LM",71,74,26,172,Argentina
J. Risdon,"RB, LB, RM",64,64,32,167,Australia
G. Petit,"ST, CAM",69,81,18,191,Uruguay
K. Yengi,"ST, LM, LW",65,68,26,189,Australia
J. Collins,ST,66,66,34,188,Republic of Ireland
Raúl García,ST,73,80,24,192,Spain
C. Çanak,"CAM, RM, CM",66,81,20,175,Turkiye
T. Bouchlarhem,"LM, ST, LW",64,70,24,180,France
Rafael Luís,"CDM, CM",67,79,20,188,Portugal
I. Camará,"CDM, CM",66,68,26,190,Guinea
P. McGinn,CB,64,64,34,175,Scotland
D. Lamego,"LB, CB, LM",66,72,22,183,France
S. Robertson,"CM, CDM",61,66,23,185,Scotland
O. Mbaizo,"RB, RM",68,68,27,178,Cameroon
G. Vrakas,"CAM, LW, CM",65,68,24,180,Greece
S. Nicholson,"RM, LM, RW",64,64,30,175,Scotland
Armando Quitirna,"RM, RB, RW",64,67,25,170,Guinea-Bissau
B. Chrisene,"LB, LM",66,75,21,183,England
L. Amos,"CM, CDM",65,65,28,179,England
A. Nadruz,"CDM, CM, CB",66,66,29,183,Uruguay
E. Tallig,"CM, RW, RM",61,65,25,178,Germany
J. Rengifo,CM,59,74,20,175,Colombia
J. Bizama,"RB, CB, RM",66,66,31,178,Chile
A. Díaz,ST,67,72,25,172,Argentina
R. Müller,"ST, RW, RM",62,67,25,176,Germany
Toni Abad,"RB, RM",68,68,28,174,Spain
J. Tomlinson,"LB, LM",62,66,25,167,England
L. Colombo,ST,73,80,23,183,Italy
J. Gundersen,CB,71,72,29,186,Norway
A. Ceesay,ST,66,66,31,188,Gambia
F. Murray,"LM, LB, RM, LW",64,65,26,183,Scotland
K. Machida,CB,76,76,27,190,Japan
E. Karić,"LB, LM",66,66,28,184,Austria
J. Franco,"RB, CM, RM",67,67,33,175,Paraguay
Pedrinho,"CAM, CM, LM",66,66,28,176,Brazil
I. Camara,"CDM, CM",64,77,20,170,Guinea
J. Gho,"LM, RM, LB",67,75,22,178,Argentina
N. Žugelj,"RW, RM",67,70,25,188,Slovenia
R. Šimić,ST,67,77,21,190,Croatia
F. Boyomo,"CB, RB",78,85,23,181,Cameroon
G. Heredia,"RB, CM, RM",64,76,20,174,Argentina
R. Healey,ST,66,66,30,180,England
A. Kaprálik,"RM, ST, LM, RW",68,74,23,175,Slovakia
G. McEachran,"CDM, CM",63,65,24,172,England
R. Drăgușin,CB,75,81,23,191,Romania
F. Ceccherini,CB,72,72,33,187,Italy
R. Palmer,"CM, CDM, CAM",65,66,26,181,England
F. Corbalán,"RB, RM",67,76,21,170,Argentina
Gabriel Pirani,"CAM, CM, LM, ST",68,74,23,170,Brazil
Henrique Arreiol,"CDM, CM",65,77,20,187,Portugal
L. Qamili,"ST, RW, CAM",68,69,27,191,North Macedonia
I. Rodríguez,"LM, CM, RM, LW",67,76,23,175,Argentina
T. Molina,ST,71,71,30,183,Argentina
C. Ikonomidis,"RM, ST, RW",62,62,30,180,Australia
M. Sanders,"CDM, CM, CAM",62,64,26,175,England
M. Rafferty,"LW, LM",63,74,20,180,Sweden
J. Lunney,"CM, CDM",60,61,27,175,Republic of Ireland
F. Bianchini,"ST, LM, RM, CAM",66,73,24,182,France
E. Weir,"CB, LB",61,63,23,185,Republic of Ireland
A. Musaba,"RM, RW, LM",70,76,24,182,Netherlands
L. Gindorf,"ST, CAM",67,72,23,182,Germany
I. Hoffmann,"RB, LB, RM",63,68,23,175,United States
T. Rommens,"LB, LM",69,79,22,185,Belgium
R. Kristiansen,"LB, CB, LM",67,67,37,183,Norway
C. Mawissa,"CB, LB, LM",75,84,20,184,France
J. Nduquidi,"CDM, CM",63,79,20,187,Angola
N. Hämäläinen,"LB, LM",66,66,28,176,Finland
A. Hüseynov,"RB, CB, LB, RM",66,66,30,179,Azerbaijan
J. Guidetti,ST,64,64,33,185,Sweden
O. Rivero,ST,72,72,33,185,Uruguay
M. Robinson,CB,73,75,28,188,United States
J. Stephens,CB,72,72,31,185,England
Chico Lamba,CB,70,80,22,190,Portugal
E. Twumasi,"RB, RM, LB",64,64,28,172,Ghana
Gabilondo,"RB, RM",67,70,26,178,Spain
J. Naschberger,"CM, CDM",63,68,25,173,Austria
E. Alagich,"CDM, CM, CAM",65,76,21,178,Australia
T. Cipot,"LM, LW, CAM",66,72,22,184,Slovenia
Kikas,"ST, RW, LW, RM",71,72,26,177,Portugal
O. Lebedenko,"LB, LM",69,72,26,176,Ukraine
M. Marras,"RM, LM, RW",68,68,31,168,Italy
T. Cassandro,"RB, RM",66,69,25,185,Italy
G. Corona,ST,63,74,21,195,Italy
N. Kasanwirjo,"RB, CB, CDM",69,75,23,185,Netherlands
F. Surdez,"LM, CAM, ST, LW",69,76,23,188,Switzerland
F. Aliti,"CB, LB",67,67,31,186,Kosovo
G. Álvarez,"CB, LB, LM",75,82,25,184,Uruguay
M. Portillo,"CM, CDM, RW",63,68,25,174,Argentina
R. Tierney,"CAM, RM, CM",64,67,24,170,Republic of Ireland
A. Abdulai,"LM, CAM, LW",64,71,22,183,Scotland
H. Carter,"CB, RB",70,75,25,188,England
D. Fila,ST,71,79,22,190,Czechia
K. Doukoure,"CDM, CM",62,64,26,175,Côte d'Ivoire
L. Guzmán,"LM, RM, RW, LW",67,70,25,171,Argentina
K. Vincent-Young,"RB, LB, RM",61,61,29,180,Grenada
D. Ask,"CM, CDM",63,66,26,190,Sweden
C. Donovan,"RB, CB, RM",64,83,18,180,Scotland
R. Buess,ST,63,63,32,183,Switzerland
D. Irandust,"RM, CAM, RW",66,66,27,185,Syria
E. Soglo,"LB, LM",64,72,19,178,England
C. Palan,"CM, CDM",57,57,34,181,India
S. Clare,"RB, RM, CB, RW",65,65,28,190,England
C. Whitely,"LW, CM, LM",60,60,33,177,England
D. Pierias,"RB, RM",64,67,25,175,Australia
F. Fernández,ST,70,70,33,180,Paraguay
M. Listkowski,"CAM, LM, CM",62,62,27,178,Poland
H. Mustapha,"CAM, CM",61,80,18,185,Sierra Leone
A. Cascioli,"CAM, CM",63,63,37,173,Australia
E. Austbø,"LW, RW, LM",66,81,20,172,Norway
M. Ferreira,"LB, CB, LM",69,69,33,176,Uruguay
Park Ji Soo,CB,70,70,31,187,Korea Republic
L. Fridrikas,"ST, CAM",65,65,27,180,Austria
Adu Ares,"LM, RM, LW",68,77,23,183,Spain
M. Trojak,CB,67,67,31,191,Poland
E. Gyabuaa,CM,61,68,23,175,Italy
A. Dijksteel,"RB, RM",69,69,28,183,Suriname
N. Fenyő,"CDM, CB, CM",61,78,19,182,Hungary
A. Johansson,"ST, LW, CAM",63,63,29,189,Sweden
L. James-Wildin,"RB, CB, RM",65,66,27,178,Antigua and Barbuda
A. Marcus,"RM, RW, CM",65,68,25,178,Nigeria
U. Charles,"RB, RM",63,74,22,176,Nigeria
Lü Zhuoyi,"RB, LB, RM",66,73,24,178,China PR
M. Iacobellis,"RM, CAM, LM, RW",67,70,25,172,Argentina
L. Doucet,"CDM, CM",68,75,22,180,France
Salvi Sánchez,"RM, LM, RW",69,69,34,175,Spain
E. López,ST,64,64,27,181,Argentina
Pedro Nuno,"CAM, CM",63,63,30,174,Portugal
N. Tauer,"CDM, CM, CB",66,72,24,183,Germany
O. Batista Meier,"CAM, LM, ST, CM",68,75,24,178,Germany
C. Stead,"CAM, ST, LW, CM",64,67,25,181,England
Kazu,"LB, LM",64,69,25,176,Brazil
J. Branthwaite,CB,79,85,23,195,England
Cassiano,ST,72,72,36,184,Brazil
M. Ivanović,ST,69,78,20,191,Serbia
R. Lutin,"CAM, LM, CM",66,76,22,165,Comoros
M. Engels,"LW, ST, LM",66,66,31,184,Germany
M. Khlan,"LM, LW",67,75,22,173,Ukraine
J. Gordon,ST,59,59,30,178,England
D. Sinik,"LM, LW",68,69,26,180,Turkiye
Lee Kang Hee,"CDM, CB, CM",63,69,23,191,Korea Republic
G. Fechner,"CDM, CM, CB",65,66,27,189,Germany
K. Andrews,"CM, CAM",60,75,18,186,Wales
W. Tesillo,"CB, LB, LM",74,74,35,184,Colombia
N. Valentini,CB,73,79,24,187,Argentina
B. Jackson,"LB, RB, LM",64,65,24,178,England
G. David,"CM, CDM",60,68,22,180,Romania
R. Trevitt,"CM, CAM",62,73,22,183,England
R. Alm,"RM, RW, LW",67,67,29,174,Sweden
Mario Cantero,"CM, CDM, RM",63,72,23,176,Spain
D. Worrall,"RB, RM",58,58,35,170,England
I. Dolček,"LM, LW, RW",66,69,25,182,Croatia
M. Boxall,CB,70,70,36,191,New Zealand
E. Riis,ST,71,72,27,190,Denmark
F. Cham,"RB, RM",66,75,19,186,Gambia
Tomané,ST,69,69,32,186,Portugal
M. Kwarteng,"RW, CAM, RM",69,69,27,175,Germany
A. Baron,"LB, CB, CDM",66,66,32,180,France
A. Opoku,"RM, LM, RW",67,68,26,185,Germany
D. Adorni,CB,70,70,32,189,Italy
F. Ruschke,"LM, LB",64,71,22,185,Germany
J. Goyal,"ST, CDM",58,58,29,183,India
J. Opoku,CB,72,77,26,197,Ghana
A. Cissè,"CAM, CM",64,78,18,176,Italy
M. Miljević,"CAM, ST, LM, CM",66,71,24,175,United States
M. Palestra,"RM, RB",65,80,20,186,Italy
A. Kabar,"LB, LM",64,81,19,181,Germany
S. Di Benedetto,"CM, CDM",61,76,19,175,Germany
G. Frimpong,"LB, LM",70,71,26,180,Netherlands
R. Stewart,ST,71,71,28,188,Scotland
Marlinito Dias,"CDM, CB, CM",70,70,29,189,Brazil
N. Pennington,"CM, CDM",64,67,26,182,Australia
Kodro,ST,70,70,31,190,Bosnia and Herzegovina
A. Pantea,"RB, LB, RM",66,74,21,178,Romania
T. Bakoulas,"CDM, CM",64,79,20,182,Greece
A. Kuol,ST,62,68,23,181,Australia
Renato Rochela,"CAM, LM, LW, CM",68,68,29,188,Brazil
Z. Westbrooke,"CM, RW, CDM",60,60,28,180,England
Alvaro Rodríguez,"RB, LB, RM",66,66,30,181,Spain
D. Bakola,"CAM, CM",63,80,17,178,France
D. Kiki,"LB, RB, LM",63,63,31,180,Benin
F. Bilbija,"CAM, CM, ST",71,74,25,189,Germany
C. Irié,"RM, ST, RW",70,82,20,185,Burkina Faso
Aitor Paredes,CB,78,81,25,186,Spain
M. Senaya,"RB, RM",69,74,24,181,France
A. Milić,CB,71,71,31,190,Croatia
N. Belloni,"LM, RM, LB",64,64,30,176,Italy
T. Perry,"CM, CAM, CDM",62,68,23,178,England
C. Inao Oulaï,"CAM, CDM, CM",64,78,19,173,Côte d'Ivoire
J. Martini,CM,62,73,20,178,Italy
B. Lubala,"ST, LM, LW",63,64,27,177,Congo DR
S. Taniguchi,CB,69,69,33,183,Japan
A. Powell,"RB, RM, CB, RW",65,65,30,182,Jamaica
J. Courtney-Perkins,"LB, CB, LM",64,70,22,189,Australia
C. Baird,"ST, RM, RW",66,66,29,178,United States
T. Salman,"CB, RB",68,71,27,179,Qatar
Park Cheol Woo,"LB, LM, LW",67,67,27,176,Korea Republic
M. Coyle,"CM, CDM, CB",61,61,28,178,Republic of Ireland
G. Dalrymple,"RW, RM",64,64,33,174,Australia
V. Screciu,"CDM, CB",68,72,25,181,Romania
G. Earthy,"CAM, RM, CM",67,78,20,178,England
Matheus Dias,"CDM, CM, CB",68,76,23,187,Brazil
M. Sylla,"CDM, CM",66,66,31,189,France
H. Cornick,"ST, RM, RW, CAM",67,67,30,180,England
M. Hilgers,CB,72,78,24,186,Indonesia
Y. Zague,"RB, LB, RM",65,80,19,168,France
Luis Perea,"CDM, CM",64,65,27,191,Spain
R. Lozano,"RB, LB, RM",69,69,27,179,Argentina
D. Zabala,"CB, RB, RM",66,74,22,181,Argentina
M. Soldo,"CDM, CM",65,76,21,185,Croatia
Marcão,ST,72,72,31,196,Brazil
N. Sadaoui,"LM, ST, LW",68,68,31,180,Morocco
N. Uysal,"CB, CDM, RB, CM",68,68,34,180,Turkiye
M. Llontop,"LB, LM",66,74,23,169,Peru
C. Harper,"RM, RB, CAM, RW",66,74,23,176,United States
M. Dams,"LB, CB, LM",68,79,21,184,Belgium
D. Hume,"LB, LM",65,65,26,177,England
L. Smans,"CAM, CM",67,77,22,175,Netherlands
Bermejo,"RM, CAM, RW",68,68,27,170,Spain
S. Mørk,"CM, CDM",63,69,24,185,Norway
A. Sylla,CB,72,80,22,188,Côte d'Ivoire
M. Al Olayan,"LB, RB, LM",63,63,30,170,Saudi Arabia
E. Cerrillo,"CDM, CM, CB",68,73,24,175,United States
Javi Rueda,"RB, RM",68,75,23,177,Spain
B. Gimber,"CB, CDM",71,73,28,187,Germany
T. Schmitt,"LB, LM",61,61,28,180,United States
J. Hungbo,"RM, RW, LM",67,70,25,173,England
G. Gent,"LB, LM",65,75,21,180,England
E. Topçu,"CB, LB",73,79,24,188,Turkiye
N. Ünüvar,"LM, CAM, LW",69,76,22,168,Turkiye
J. Lindberg,"ST, LM, LW",62,62,36,177,Sweden
A. Grbić,ST,67,67,28,188,Austria
P. Rodríguez,"LW, LM, ST",70,70,35,170,Argentina
K. Łukasiak,"CAM, CM",64,72,21,180,Poland
J. Garrett,"CDM, CM, CAM",63,70,22,177,England
E. Pinnock,CB,77,77,32,194,Jamaica
L. Amarilla,ST,69,69,29,182,Paraguay
J. Hansen,"CM, CAM",63,78,20,183,Norway
M. Rohr,"CB, CDM",68,68,30,193,Germany
Kiko,"LB, LM",65,74,23,180,Portugal
F. Krastev,"LM, LW",69,76,23,178,Bulgaria
G. Padrón,"LM, CM, CAM, LW",68,78,22,169,Venezuela
S. Salle,"RB, RM",62,75,21,185,Argentina
L. Dykes,"ST, CAM, CM",68,68,29,188,Scotland
J. Lora,"RB, RM",69,74,24,176,Peru
B. Vides,"ST, LW",65,65,32,178,Argentina
G. Paredes,"LB, LM",63,71,21,178,Argentina
A. Madibo,"CDM, CM",65,66,28,168,Qatar
Juan Sebastián,"RB, CB, LB, RM",68,77,23,187,Spain
A. Keena,ST,63,65,26,180,Republic of Ireland
T. Bindon,"CB, RB",69,82,20,190,New Zealand
R. Fernández,ST,69,69,34,179,Chile
Rodrigo Pinho,"ST, RW, RM",70,70,34,185,Brazil
G. Kilkenny,"CM, CDM",63,67,25,170,Republic of Ireland
P. Gueye,"ST, CAM, CM",68,71,25,188,Senegal
T. Maswanhise,"LW, ST, RM, LM",66,75,22,175,Zimbabwe
S. Magnússon,"RW, ST, CAM, RM",66,69,25,175,Iceland
J. Lorch,"CB, CM, CDM",66,66,29,188,Germany
G. Quagliata,"LB, LM",69,72,25,180,Italy
M. Ortega,"RB, RM",67,68,25,183,Argentina
J. Mosquera,RB,69,72,25,176,Colombia
J. Cazares,"CAM, CM",67,67,33,170,Ecuador
Á. Ramos,"ST, RW, RM",68,68,33,167,Chile
D. Guindo,"LB, LM",67,76,22,183,Mali
S. Hidalgo,"RW, CAM, RM",69,80,20,175,Argentina
S. Biuk,"LM, RM, LW",67,75,22,182,Croatia
J. Headley,"LB, LM",62,71,23,175,England
C. Driouech,"LW, LM",70,78,23,175,Morocco
J. Cardozo,"CM, CDM",62,74,21,184,Paraguay
Park Se Jin,"CM, CAM",63,71,21,171,Korea Republic
S. Sandberg,"CB, RB, RM",65,65,31,186,Sweden
Miguel Sousa,"CAM, CM, RM",67,68,26,176,Portugal
N. Orsini,"ST, RW, CAM",70,70,30,187,Argentina
E. Bajraktarević,"RW, RM",67,84,20,175,Bosnia and Herzegovina
T. Gaprindashvili,"RW, CM, RM",64,64,27,171,Georgia
Sergio Viera,"CDM, CM, CAM",62,76,20,178,Spain
A. Broja,ST,72,77,23,191,Albania
J. Donley,"CAM, CM",67,81,20,183,Northern Ireland
A. Toșca,"CB, LB, LM",66,66,33,181,Romania
J. Cummings,"ST, CAM",67,67,29,178,Australia
Y. Goitia,"CDM, CM, RB",66,66,30,175,Argentina
Carlos Espí,ST,68,83,19,194,Spain
T. Gomulka,"CM, CDM",60,67,23,182,Australia
S. Ouaissa,"RM, CAM, RW",68,78,20,170,Netherlands
D. Widgren,"LB, LM",64,64,31,180,Sweden
L. Koumas,"RM, LM, RW",69,83,19,182,Wales
R. Paula,"RM, LM, RB",66,74,21,178,Germany
A. Méndez,"RB, RM",71,71,29,176,Uruguay
A. Londoño,"ST, RW, RM",65,72,24,185,Panama
N. Ogbeta,"LB, LM",66,71,24,188,England
S. Coulibaly,CB,72,80,21,191,France
A. Muñoz,"CAM, CM",61,68,24,175,Argentina
R. Bardghji,"RM, RW",69,82,19,173,Sweden
S. Divan,"RM, RW",64,64,29,175,India
N. Prelec,ST,69,73,24,187,Slovenia
Wang Jianan,"LB, RB, LM",60,60,32,181,China PR
Dai Weijun,"CM, CAM, RM",60,63,25,177,China PR
M. Alonso,"RM, LM, RW",65,65,31,166,Uruguay
L. Raolisoa,"RB, RM",70,75,25,178,France
M. van Bergen,"RM, LM, RW",69,70,25,170,Netherlands
S. Souprayen,CB,66,66,36,187,France
E. Gimenez,"CM, CDM",64,72,21,175,Argentina
Edgar,"ST, LW, RW, LM",66,66,38,191,Brazil
M. Clark,"LB, LM",63,63,29,180,England
J. Bowler,"RM, RW, LM",69,70,26,184,England
L. Carrizo,"CB, LB, LM",67,68,28,180,Argentina
A. Crnac,"ST, RM, CAM, RW",68,75,21,190,Croatia
N. Wimmer,CB,70,70,30,190,Austria
M. Kaba,"CDM, CM",68,76,23,185,France
G. Kanellopoulos,CM,64,69,25,185,Greece
O. Kobacki,"LM, LW",64,70,23,178,Poland
A. Bulatović,CM,64,78,18,180,Montenegro
R. Ghrieb,"RM, RW",68,69,26,182,France
R. Nyambe,"RB, CB, RM",67,67,27,178,Namibia
T. Kolodziejczak,CB,69,69,33,183,France
D. Maftei,"RB, RM",66,74,20,175,Romania
T. Pellenard,CB,69,69,31,182,France
Capi,"CDM, CM",60,73,18,178,Spain
D. Varešanović,"CAM, CM",67,74,24,177,Bosnia and Herzegovina
F. Di Michele Sanchez,"LB, LM",66,75,22,180,Germany
C. Lannert,"RB, RM",67,68,27,180,Germany
E. Weinhauer,"CAM, RM, LM, ST",63,68,24,176,Germany
Álex Calvo,"RW, RM",66,72,21,170,Spain
H. Mahou,"LM, RM, ST, LW",66,67,25,179,France
A. Arce,ST,75,75,30,187,Paraguay
R. Thellufsen,"CM, CAM",62,62,28,185,Denmark
A. Ghareeb,"LM, LW",70,70,28,164,Saudi Arabia
S. Milewski,"LM, CM, RM, LB",64,64,27,175,Poland
A. Sarmiento,"LM, LW",70,70,27,170,Colombia
M. Armellino,"CM, CDM",66,66,35,186,Italy
O. Correia,"CDM, CM",64,69,25,187,France
A. Gheorghiță,"RM, LM, ST, RW",66,72,22,185,Romania
Eo Jeong Won,"RB, LB",65,68,25,175,Korea Republic
Zé Carlos,"RB, CM, RM",66,74,23,172,Portugal
I. Mesík,CB,66,74,24,186,Slovakia
S. Nombe,ST,67,69,26,180,England
Z. Ashworth,"LB, LM",64,73,22,183,Wales
I. Salah,"LW, ST, LM",70,76,23,186,Morocco
B. Nagy,"LB, LM",66,71,24,185,Hungary
N. Athanasiou,"LB, LM",69,75,24,177,Greece
Chapela,"LM, RM, LW",69,70,26,181,Spain
A. Gilchrist,"RB, CB, RM",71,80,21,184,England
C. Ramirez,"ST, CAM, CM",68,68,34,188,United States
A. Schott,"RB, LB, RM",66,70,25,174,Argentina
A. Al Hamdan,"ST, CAM",64,67,25,186,Saudi Arabia
K. Schumacher,"LM, LB",64,64,27,182,Germany
C. Labidi,CM,65,70,24,190,Tunisia
Carlos Fernández,ST,69,69,29,186,Spain
A. Cantero,"ST, LW, CAM",68,69,27,184,Argentina
K. Spadanuda,"LM, LB",67,67,28,177,Switzerland
J. Vásquez,CB,75,78,26,185,Mexico
P. Bizoza,"CM, CDM",64,67,26,187,Burundi
Henrique Araújo,ST,70,78,23,182,Portugal
T. Kawamura,"CM, CAM",65,68,25,183,Japan
M. Miranda,"CAM, RM, LM, CM",65,70,25,174,Argentina
M. Seoane,"CM, CDM",64,74,21,178,Argentina
M. Pernía,"LB, CB, LM",69,76,24,178,Venezuela
R. Tapia,"CB, LB",68,68,30,184,Argentina
J. Farrell,"LB, LM",67,74,22,188,Australia
Diego Rodrigues,"CM, CDM",66,81,20,185,Portugal
D. Kyerewaa,"CAM, LW, RW, CM",65,69,24,173,Germany
K. Koné,"LM, LW",64,64,28,178,Côte d'Ivoire
J. McMillan,"RM, RB, CM",63,63,27,183,Scotland
L. Egloff,"CM, CAM, ST",65,73,22,182,Germany
R. Jones,"ST, LM, LW",65,72,22,183,England
R. Elongo-Yombo,"LW, ST, LM",64,70,23,183,Germany
C. Araújo,"CDM, CM",69,77,24,178,Uruguay
T. Parmo,"CAM, CM",64,82,17,171,Argentina
A. Sanyang,"RM, ST, RW",67,68,26,173,Gambia
L. Rosenboom,"RB, RM",69,74,23,190,Germany
N. Al Abed,"CAM, RM, LM, CM",65,65,35,169,Saudi Arabia
J. Kerr,CB,66,67,28,180,Scotland
Rodrigo Pinheiro,"RB, RM",70,79,22,183,Portugal
G. Díaz Núñez,"LB, LM",68,71,25,172,Argentina
T. Touré,"LM, RM, LW",68,75,22,184,France
L. Montano,"LB, LM",64,69,25,191,Denmark
P. Twumasi,"LM, ST, CAM, LW",67,67,31,176,Ghana
E. Dixon-Bonner,"CM, CDM",63,70,24,180,England
E. Ancheta,"RB, RM",68,71,26,179,Uruguay
S. Crone,"RB, LB, RM",64,64,30,182,Denmark
J. Taylor,ST,66,76,22,170,Wales
Antonaldo Laforte,"CAM, CM",68,68,29,178,Brazil
D. Scherhant,"ST, LM, LW, CAM",69,77,22,185,Germany
B. Paulsen,CB,66,66,33,191,Denmark
D. Etienne Jr.,"LM, ST, LW",66,66,28,178,Haiti
M. Sahi,"ST, CAM",69,74,23,175,Côte d'Ivoire
C. Malley,"CDM, CM",61,64,25,185,England
S. Diarra,"RM, LM, RW",68,69,26,173,Côte d'Ivoire
M. Kyabou,"CDM, CM",64,65,27,183,Mali
M. Diakhaby,CB,76,78,28,189,Guinea
J. Morán,"LB, LM",65,76,18,183,Argentina
R. Svindland,"RW, CM, RM",64,64,27,178,Norway
D. Oldaker,"CDM, CM, CB",61,64,26,178,England
K. Gordon,"RB, LB, RM",61,62,27,179,England
J. Mercado,"LW, LM, RM",70,79,23,186,Ecuador
P. Wiesinger,CB,69,69,31,181,Austria
Manu Sánchez,"RB, RM",63,63,29,183,Spain
F. Arismendi,"RM, CM, RW",64,64,34,175,Uruguay
U. Mathisen,"RW, CM, LW, RM",64,65,26,185,Norway
Tomás Nuninho,"CDM, CM",68,68,29,189,Brazil
A. Sejdič,"CM, CAM, CDM",63,63,28,178,Germany
Lee Jin Yong,"CM, CDM",62,66,24,180,Korea Republic
Manu Nieto,ST,67,68,27,182,Spain
J. Lennon,"CDM, CM",64,66,27,178,Republic of Ireland
K. Szmyt,"RM, LM, RW",66,72,23,175,Poland
J. Mees,"CAM, LM, ST, CM",69,69,29,180,Germany
J. Ngakia,"RB, LB, RM",69,73,24,178,Congo DR
Diogo Leite,CB,78,81,26,188,Portugal
G. Olzer,"CAM, RM, RW, ST",64,68,24,188,Italy
A. Abrashi,"CDM, CM",66,66,35,172,Albania
A. Bermont,"LM, RM, LB",68,78,20,176,France
Jang Yun Ho,"CM, CDM, CAM",61,61,28,178,Korea Republic
J. Sbarra,"CM, CAM",61,62,26,168,England
J. Earl,"CB, LB, LM",66,67,26,192,England
N. Buayi-Kiala,CM,62,73,21,177,France
A. Zeljković,"LW, ST, LM",64,64,27,181,Sweden
R. Sigurgeirsson,"LB, LM",64,67,25,186,Iceland
J. Lankester,"CAM, ST, RM, CM",63,68,25,177,England
J. Andersen,"RB, RM",66,76,21,187,Denmark
Jandro Orellana,"CDM, CM",67,74,24,176,Spain
A. Uribe,"RW, CAM, CM, RM",68,69,26,167,Chile
Vieirundinho,CB,78,78,33,189,Brazil
R. Nicolaisen,CB,76,78,28,191,Denmark
